"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Extended","BIT 5,D","BIT","5","D","2  8","Z 0 1 -","CB6A","1100101101101010","11001011 01 101 010","11001011","01","101","010"
"Extended","BIT 5,E","BIT","5","E","2  8","Z 0 1 -","CB6B","1100101101101011","11001011 01 101 011","11001011","01","101","011"
"Extended","BIT 5,H","BIT","5","H","2  8","Z 0 1 -","CB6C","1100101101101100","11001011 01 101 100","11001011","01","101","100"
"Extended","BIT 5,L","BIT","5","L","2  8","Z 0 1 -","CB6D","1100101101101101","11001011 01 101 101","11001011","01","101","101"
"Extended","BIT 5,(HL)","BIT","5","(HL)","2  16","Z 0 1 -","CB6E","1100101101101110","11001011 01 101 110","11001011","01","101","110"
"Extended","BIT 5,A","BIT","5","A","2  8","Z 0 1 -","CB6F","1100101101101111","11001011 01 101 111","11001011","01","101","111"
"Extended","BIT 6,B","BIT","6","B","2  8","Z 0 1 -","CB70","1100101101110000","11001011 01 110 000","11001011","01","110","000"
"Extended","BIT 6,C","BIT","6","C","2  8","Z 0 1 -","CB71","1100101101110001","11001011 01 110 001","11001011","01","110","001"
"Extended","BIT 6,D","BIT","6","D","2  8","Z 0 1 -","CB72","1100101101110010","11001011 01 110 010","11001011","01","110","010"
"Extended","BIT 6,E","BIT","6","E","2  8","Z 0 1 -","CB73","1100101101110011","11001011 01 110 011","11001011","01","110","011"
"Extended","BIT 6,H","BIT","6","H","2  8","Z 0 1 -","CB74","1100101101110100","11001011 01 110 100","11001011","01","110","100"
"Extended","BIT 6,L","BIT","6","L","2  8","Z 0 1 -","CB75","1100101101110101","11001011 01 110 101","11001011","01","110","101"
"Extended","BIT 6,(HL)","BIT","6","(HL)","2  16","Z 0 1 -","CB76","1100101101110110","11001011 01 110 110","11001011","01","110","110"
"Extended","BIT 6,A","BIT","6","A","2  8","Z 0 1 -","CB77","1100101101110111","11001011 01 110 111","11001011","01","110","111"
"Extended","BIT 7,B","BIT","7","B","2  8","Z 0 1 -","CB78","1100101101111000","11001011 01 111 000","11001011","01","111","000"
"Extended","BIT 7,C","BIT","7","C","2  8","Z 0 1 -","CB79","1100101101111001","11001011 01 111 001","11001011","01","111","001"
"Extended","BIT 7,D","BIT","7","D","2  8","Z 0 1 -","CB7A","1100101101111010","11001011 01 111 010","11001011","01","111","010"
"Extended","BIT 7,E","BIT","7","E","2  8","Z 0 1 -","CB7B","1100101101111011","11001011 01 111 011","11001011","01","111","011"
"Extended","BIT 7,H","BIT","7","H","2  8","Z 0 1 -","CB7C","1100101101111100","11001011 01 111 100","11001011","01","111","100"
"Extended","BIT 7,L","BIT","7","L","2  8","Z 0 1 -","CB7D","1100101101111101","11001011 01 111 101","11001011","01","111","101"
"Extended","BIT 7,(HL)","BIT","7","(HL)","2  16","Z 0 1 -","CB7E","1100101101111110","11001011 01 111 110","11001011","01","111","110"
"Extended","BIT 7,A","BIT","7","A","2  8","Z 0 1 -","CB7F","1100101101111111","11001011 01 111 111","11001011","01","111","111"
"Extended","RES 0,B","RES","0","B","2  8","- - - -","CB80","1100101110000000","11001011 10 000 000","11001011","10","000","000"
"Extended","RES 0,C","RES","0","C","2  8","- - - -","CB81","1100101110000001","11001011 10 000 001","11001011","10","000","001"
"Extended","RES 0,D","RES","0","D","2  8","- - - -","CB82","1100101110000010","11001011 10 000 010","11001011","10","000","010"
"Extended","RES 0,E","RES","0","E","2  8","- - - -","CB83","1100101110000011","11001011 10 000 011","11001011","10","000","011"
"Extended","RES 0,H","RES","0","H","2  8","- - - -","CB84","1100101110000100","11001011 10 000 100","11001011","10","000","100"
"Extended","RES 0,L","RES","0","L","2  8","- - - -","CB85","1100101110000101","11001011 10 000 101","11001011","10","000","101"
"Extended","RES 0,(HL)","RES","0","(HL)","2  16","- - - -","CB86","1100101110000110","11001011 10 000 110","11001011","10","000","110"
"Extended","RES 0,A","RES","0","A","2  8","- - - -","CB87","1100101110000111","11001011 10 000 111","11001011","10","000","111"
"Extended","RES 1,B","RES","1","B","2  8","- - - -","CB88","1100101110001000","11001011 10 001 000","11001011","10","001","000"
"Extended","RES 1,C","RES","1","C","2  8","- - - -","CB89","1100101110001001","11001011 10 001 001","11001011","10","001","001"
"Extended","RES 1,D","RES","1","D","2  8","- - - -","CB8A","1100101110001010","11001011 10 001 010","11001011","10","001","010"
"Extended","RES 1,E","RES","1","E","2  8","- - - -","CB8B","1100101110001011","11001011 10 001 011","11001011","10","001","011"
"Extended","RES 1,H","RES","1","H","2  8","- - - -","CB8C","1100101110001100","11001011 10 001 100","11001011","10","001","100"
"Extended","RES 1,L","RES","1","L","2  8","- - - -","CB8D","1100101110001101","11001011 10 001 101","11001011","10","001","101"
"Extended","RES 1,(HL)","RES","1","(HL)","2  16","- - - -","CB8E","1100101110001110","11001011 10 001 110","11001011","10","001","110"
"Extended","RES 1,A","RES","1","A","2  8","- - - -","CB8F","1100101110001111","11001011 10 001 111","11001011","10","001","111"
"Extended","RES 2,B","RES","2","B","2  8","- - - -","CB90","1100101110010000","11001011 10 010 000","11001011","10","010","000"
"Extended","RES 2,C","RES","2","C","2  8","- - - -","CB91","1100101110010001","11001011 10 010 001","11001011","10","010","001"
"Extended","RES 2,D","RES","2","D","2  8","- - - -","CB92","1100101110010010","11001011 10 010 010","11001011","10","010","010"
"Extended","RES 2,E","RES","2","E","2  8","- - - -","CB93","1100101110010011","11001011 10 010 011","11001011","10","010","011"
"Extended","RES 2,H","RES","2","H","2  8","- - - -","CB94","1100101110010100","11001011 10 010 100","11001011","10","010","100"
"Extended","RES 2,L","RES","2","L","2  8","- - - -","CB95","1100101110010101","11001011 10 010 101","11001011","10","010","101"
"Extended","RES 2,(HL)","RES","2","(HL)","2  16","- - - -","CB96","1100101110010110","11001011 10 010 110","11001011","10","010","110"
"Extended","RES 2,A","RES","2","A","2  8","- - - -","CB97","1100101110010111","11001011 10 010 111","11001011","10","010","111"
"Extended","RES 3,B","RES","3","B","2  8","- - - -","CB98","1100101110011000","11001011 10 011 000","11001011","10","011","000"
"Extended","RES 3,C","RES","3","C","2  8","- - - -","CB99","1100101110011001","11001011 10 011 001","11001011","10","011","001"
"Extended","RES 3,D","RES","3","D","2  8","- - - -","CB9A","1100101110011010","11001011 10 011 010","11001011","10","011","010"
"Extended","RES 3,E","RES","3","E","2  8","- - - -","CB9B","1100101110011011","11001011 10 011 011","11001011","10","011","011"
"Extended","RES 3,H","RES","3","H","2  8","- - - -","CB9C","1100101110011100","11001011 10 011 100","11001011","10","011","100"
"Extended","RES 3,L","RES","3","L","2  8","- - - -","CB9D","1100101110011101","11001011 10 011 101","11001011","10","011","101"
"Extended","RES 3,(HL)","RES","3","(HL)","2  16","- - - -","CB9E","1100101110011110","11001011 10 011 110","11001011","10","011","110"
"Extended","RES 3,A","RES","3","A","2  8","- - - -","CB9F","1100101110011111","11001011 10 011 111","11001011","10","011","111"
"Extended","RES 4,B","RES","4","B","2  8","- - - -","CBA0","1100101110100000","11001011 10 100 000","11001011","10","100","000"
"Extended","RES 4,C","RES","4","C","2  8","- - - -","CBA1","1100101110100001","11001011 10 100 001","11001011","10","100","001"
"Extended","RES 4,D","RES","4","D","2  8","- - - -","CBA2","1100101110100010","11001011 10 100 010","11001011","10","100","010"
"Extended","RES 4,E","RES","4","E","2  8","- - - -","CBA3","1100101110100011","11001011 10 100 011","11001011","10","100","011"
"Extended","RES 4,H","RES","4","H","2  8","- - - -","CBA4","1100101110100100","11001011 10 100 100","11001011","10","100","100"
"Extended","RES 4,L","RES","4","L","2  8","- - - -","CBA5","1100101110100101","11001011 10 100 101","11001011","10","100","101"
"Extended","RES 4,(HL)","RES","4","(HL)","2  16","- - - -","CBA6","1100101110100110","11001011 10 100 110","11001011","10","100","110"
"Extended","RES 4,A","RES","4","A","2  8","- - - -","CBA7","1100101110100111","11001011 10 100 111","11001011","10","100","111"
"Extended","RES 5,B","RES","5","B","2  8","- - - -","CBA8","1100101110101000","11001011 10 101 000","11001011","10","101","000"
"Extended","RES 5,C","RES","5","C","2  8","- - - -","CBA9","1100101110101001","11001011 10 101 001","11001011","10","101","001"
"Extended","RES 5,D","RES","5","D","2  8","- - - -","CBAA","1100101110101010","11001011 10 101 010","11001011","10","101","010"
"Extended","RES 5,E","RES","5","E","2  8","- - - -","CBAB","1100101110101011","11001011 10 101 011","11001011","10","101","011"
"Extended","RES 5,H","RES","5","H","2  8","- - - -","CBAC","1100101110101100","11001011 10 101 100","11001011","10","101","100"
"Extended","RES 5,L","RES","5","L","2  8","- - - -","CBAD","1100101110101101","11001011 10 101 101","11001011","10","101","101"
"Extended","RES 5,(HL)","RES","5","(HL)","2  16","- - - -","CBAE","1100101110101110","11001011 10 101 110","11001011","10","101","110"
"Extended","RES 5,A","RES","5","A","2  8","- - - -","CBAF","1100101110101111","11001011 10 101 111","11001011","10","101","111"
"Extended","RES 6,B","RES","6","B","2  8","- - - -","CBB0","1100101110110000","11001011 10 110 000","11001011","10","110","000"
"Extended","RES 6,C","RES","6","C","2  8","- - - -","CBB1","1100101110110001","11001011 10 110 001","11001011","10","110","001"
"Extended","RES 6,D","RES","6","D","2  8","- - - -","CBB2","1100101110110010","11001011 10 110 010","11001011","10","110","010"
"Extended","RES 6,E","RES","6","E","2  8","- - - -","CBB3","1100101110110011","11001011 10 110 011","11001011","10","110","011"
"Extended","RES 6,H","RES","6","H","2  8","- - - -","CBB4","1100101110110100","11001011 10 110 100","11001011","10","110","100"
"Extended","RES 6,L","RES","6","L","2  8","- - - -","CBB5","1100101110110101","11001011 10 110 101","11001011","10","110","101"
"Extended","RES 6,(HL)","RES","6","(HL)","2  16","- - - -","CBB6","1100101110110110","11001011 10 110 110","11001011","10","110","110"
"Extended","RES 6,A","RES","6","A","2  8","- - - -","CBB7","1100101110110111","11001011 10 110 111","11001011","10","110","111"
"Extended","RES 7,B","RES","7","B","2  8","- - - -","CBB8","1100101110111000","11001011 10 111 000","11001011","10","111","000"
"Extended","RES 7,C","RES","7","C","2  8","- - - -","CBB9","1100101110111001","11001011 10 111 001","11001011","10","111","001"
"Extended","RES 7,D","RES","7","D","2  8","- - - -","CBBA","1100101110111010","11001011 10 111 010","11001011","10","111","010"
"Extended","RES 7,E","RES","7","E","2  8","- - - -","CBBB","1100101110111011","11001011 10 111 011","11001011","10","111","011"
"Extended","RES 7,H","RES","7","H","2  8","- - - -","CBBC","1100101110111100","11001011 10 111 100","11001011","10","111","100"
"Extended","RES 7,L","RES","7","L","2  8","- - - -","CBBD","1100101110111101","11001011 10 111 101","11001011","10","111","101"
"Extended","RES 7,(HL)","RES","7","(HL)","2  16","- - - -","CBBE","1100101110111110","11001011 10 111 110","11001011","10","111","110"
"Extended","RES 7,A","RES","7","A","2  8","- - - -","CBBF","1100101110111111","11001011 10 111 111","11001011","10","111","111"
"Extended","SET 0,B","SET","0","B","2  8","- - - -","CBC0","1100101111000000","11001011 11 000 000","11001011","11","000","000"
"Extended","SET 0,C","SET","0","C","2  8","- - - -","CBC1","1100101111000001","11001011 11 000 001","11001011","11","000","001"
"Extended","SET 0,D","SET","0","D","2  8","- - - -","CBC2","1100101111000010","11001011 11 000 010","11001011","11","000","010"
"Extended","SET 0,E","SET","0","E","2  8","- - - -","CBC3","1100101111000011","11001011 11 000 011","11001011","11","000","011"
"Extended","SET 0,H","SET","0","H","2  8","- - - -","CBC4","1100101111000100","11001011 11 000 100","11001011","11","000","100"
"Extended","SET 0,L","SET","0","L","2  8","- - - -","CBC5","1100101111000101","11001011 11 000 101","11001011","11","000","101"
"Extended","SET 0,(HL)","SET","0","(HL)","2  16","- - - -","CBC6","1100101111000110","11001011 11 000 110","11001011","11","000","110"
"Extended","SET 0,A","SET","0","A","2  8","- - - -","CBC7","1100101111000111","11001011 11 000 111","11001011","11","000","111"
"Extended","SET 1,B","SET","1","B","2  8","- - - -","CBC8","1100101111001000","11001011 11 001 000","11001011","11","001","000"
"Extended","SET 1,C","SET","1","C","2  8","- - - -","CBC9","1100101111001001","11001011 11 001 001","11001011","11","001","001"
"Extended","SET 1,D","SET","1","D","2  8","- - - -","CBCA","1100101111001010","11001011 11 001 010","11001011","11","001","010"
"Extended","SET 1,E","SET","1","E","2  8","- - - -","CBCB","1100101111001011","11001011 11 001 011","11001011","11","001","011"
"Extended","SET 1,H","SET","1","H","2  8","- - - -","CBCC","1100101111001100","11001011 11 001 100","11001011","11","001","100"
"Extended","SET 1,L","SET","1","L","2  8","- - - -","CBCD","1100101111001101","11001011 11 001 101","11001011","11","001","101"
"Extended","SET 1,(HL)","SET","1","(HL)","2  16","- - - -","CBCE","1100101111001110","11001011 11 001 110","11001011","11","001","110"
"Extended","SET 1,A","SET","1","A","2  8","- - - -","CBCF","1100101111001111","11001011 11 001 111","11001011","11","001","111"
"Extended","SET 2,B","SET","2","B","2  8","- - - -","CBD0","1100101111010000","11001011 11 010 000","11001011","11","010","000"
"Extended","SET 2,C","SET","2","C","2  8","- - - -","CBD1","1100101111010001","11001011 11 010 001","11001011","11","010","001"
"Extended","SET 2,D","SET","2","D","2  8","- - - -","CBD2","1100101111010010","11001011 11 010 010","11001011","11","010","010"
"Extended","SET 2,E","SET","2","E","2  8","- - - -","CBD3","1100101111010011","11001011 11 010 011","11001011","11","010","011"
"Extended","SET 2,H","SET","2","H","2  8","- - - -","CBD4","1100101111010100","11001011 11 010 100","11001011","11","010","100"
"Extended","SET 2,L","SET","2","L","2  8","- - - -","CBD5","1100101111010101","11001011 11 010 101","11001011","11","010","101"
"Extended","SET 2,(HL)","SET","2","(HL)","2  16","- - - -","CBD6","1100101111010110","11001011 11 010 110","11001011","11","010","110"
"Extended","SET 2,A","SET","2","A","2  8","- - - -","CBD7","1100101111010111","11001011 11 010 111","11001011","11","010","111"
"Extended","SET 3,B","SET","3","B","2  8","- - - -","CBD8","1100101111011000","11001011 11 011 000","11001011","11","011","000"
"Extended","SET 3,C","SET","3","C","2  8","- - - -","CBD9","1100101111011001","11001011 11 011 001","11001011","11","011","001"
"Extended","SET 3,D","SET","3","D","2  8","- - - -","CBDA","1100101111011010","11001011 11 011 010","11001011","11","011","010"
"Extended","SET 3,E","SET","3","E","2  8","- - - -","CBDB","1100101111011011","11001011 11 011 011","11001011","11","011","011"
"Extended","SET 3,H","SET","3","H","2  8","- - - -","CBDC","1100101111011100","11001011 11 011 100","11001011","11","011","100"
"Extended","SET 3,L","SET","3","L","2  8","- - - -","CBDD","1100101111011101","11001011 11 011 101","11001011","11","011","101"
"Extended","SET 3,(HL)","SET","3","(HL)","2  16","- - - -","CBDE","1100101111011110","11001011 11 011 110","11001011","11","011","110"
"Extended","SET 3,A","SET","3","A","2  8","- - - -","CBDF","1100101111011111","11001011 11 011 111","11001011","11","011","111"
"Extended","SET 4,B","SET","4","B","2  8","- - - -","CBE0","1100101111100000","11001011 11 100 000","11001011","11","100","000"
"Extended","SET 4,C","SET","4","C","2  8","- - - -","CBE1","1100101111100001","11001011 11 100 001","11001011","11","100","001"
"Extended","SET 4,D","SET","4","D","2  8","- - - -","CBE2","1100101111100010","11001011 11 100 010","11001011","11","100","010"
"Extended","SET 4,E","SET","4","E","2  8","- - - -","CBE3","1100101111100011","11001011 11 100 011","11001011","11","100","011"
"Extended","SET 4,H","SET","4","H","2  8","- - - -","CBE4","1100101111100100","11001011 11 100 100","11001011","11","100","100"
"Extended","SET 4,L","SET","4","L","2  8","- - - -","CBE5","1100101111100101","11001011 11 100 101","11001011","11","100","101"
"Extended","SET 4,(HL)","SET","4","(HL)","2  16","- - - -","CBE6","1100101111100110","11001011 11 100 110","11001011","11","100","110"
"Extended","SET 4,A","SET","4","A","2  8","- - - -","CBE7","1100101111100111","11001011 11 100 111","11001011","11","100","111"
"Extended","SET 5,B","SET","5","B","2  8","- - - -","CBE8","1100101111101000","11001011 11 101 000","11001011","11","101","000"
"Extended","SET 5,C","SET","5","C","2  8","- - - -","CBE9","1100101111101001","11001011 11 101 001","11001011","11","101","001"
"Extended","SET 5,D","SET","5","D","2  8","- - - -","CBEA","1100101111101010","11001011 11 101 010","11001011","11","101","010"
"Extended","SET 5,E","SET","5","E","2  8","- - - -","CBEB","1100101111101011","11001011 11 101 011","11001011","11","101","011"
"Extended","SET 5,H","SET","5","H","2  8","- - - -","CBEC","1100101111101100","11001011 11 101 100","11001011","11","101","100"
"Extended","SET 5,L","SET","5","L","2  8","- - - -","CBED","1100101111101101","11001011 11 101 101","11001011","11","101","101"
"Extended","SET 5,(HL)","SET","5","(HL)","2  16","- - - -","CBEE","1100101111101110","11001011 11 101 110","11001011","11","101","110"
"Extended","SET 5,A","SET","5","A","2  8","- - - -","CBEF","1100101111101111","11001011 11 101 111","11001011","11","101","111"
"Extended","SET 6,B","SET","6","B","2  8","- - - -","CBF0","1100101111110000","11001011 11 110 000","11001011","11","110","000"
"Extended","SET 6,C","SET","6","C","2  8","- - - -","CBF1","1100101111110001","11001011 11 110 001","11001011","11","110","001"
"Extended","SET 6,D","SET","6","D","2  8","- - - -","CBF2","1100101111110010","11001011 11 110 010","11001011","11","110","010"
"Extended","SET 6,E","SET","6","E","2  8","- - - -","CBF3","1100101111110011","11001011 11 110 011","11001011","11","110","011"
"Extended","SET 6,H","SET","6","H","2  8","- - - -","CBF4","1100101111110100","11001011 11 110 100","11001011","11","110","100"
"Extended","SET 6,L","SET","6","L","2  8","- - - -","CBF5","1100101111110101","11001011 11 110 101","11001011","11","110","101"
"Extended","SET 6,(HL)","SET","6","(HL)","2  16","- - - -","CBF6","1100101111110110","11001011 11 110 110","11001011","11","110","110"
"Extended","SET 6,A","SET","6","A","2  8","- - - -","CBF7","1100101111110111","11001011 11 110 111","11001011","11","110","111"
"Extended","SET 7,B","SET","7","B","2  8","- - - -","CBF8","1100101111111000","11001011 11 111 000","11001011","11","111","000"
"Extended","SET 7,C","SET","7","C","2  8","- - - -","CBF9","1100101111111001","11001011 11 111 001","11001011","11","111","001"
"Extended","SET 7,D","SET","7","D","2  8","- - - -","CBFA","1100101111111010","11001011 11 111 010","11001011","11","111","010"
"Extended","SET 7,E","SET","7","E","2  8","- - - -","CBFB","1100101111111011","11001011 11 111 011","11001011","11","111","011"
"Extended","SET 7,H","SET","7","H","2  8","- - - -","CBFC","1100101111111100","11001011 11 111 100","11001011","11","111","100"
"Extended","SET 7,L","SET","7","L","2  8","- - - -","CBFD","1100101111111101","11001011 11 111 101","11001011","11","111","101"
"Extended","SET 7,(HL)","SET","7","(HL)","2  16","- - - -","CBFE","1100101111111110","11001011 11 111 110","11001011","11","111","110"
"Extended","SET 7,A","SET","7","A","2  8","- - - -","CBFF","1100101111111111","11001011 11 111 111","11001011","11","111","111"
